,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.036,57179.91,5042.97,0.1,34.67,38.332,82.518
1,3.176,150839.24,7428.14,0.18,38.379,42.12,87.534
2,3.408,42455.78,2485.53,0.15,38.983,38.933,81.698
3,3.564,12525591.39,670731.03,0.32,92.393,79.974,71.714
4,4.14,10188.4,1096.81,0.2,36.059,33.028,79.528
5,4.472,46502.73,4224.68,0.12,55.521,50.957,86.275
6,4.576,22056.81,2543.39,0.1,53.823,49.639,81.82
7,4.692,25284.01,2634.85,0.12,53.727,48.959,81.497
8,4.828,22314252.66,1228250.57,0.24,47.588,49.638,96.887
9,5.052,121823.74,6606.79,0.14,42.017,42.548,87.377
10,5.228,125500.93,9723.46,0.14,46.633,47.623,90.986
