,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.904,241899.2,5820.01,0.32,35.587,39.971,93.514
1,3.396,5888254.11,212546.68,0.28,38.345,49.143,89.231
2,3.556,6276762.71,294117.03,0.24,90.547,79.309,73.779
3,3.828,25724.73,1168.17,0.23,29.845,27.062,77.28
4,4.136,2109.06,214.68,0.18,30.559,25.75,75.077
5,4.572,887511.23,55646.77,0.22,73.194,97.599,67.554
6,4.82,22296887.85,1195191.26,0.26,46.957,49.348,96.276
7,5.064,25258.84,2157.26,0.12,39.667,35.223,79.672
8,5.22,267762.7,19037.78,0.15,52.069,51.427,94.453
9,5.348,11437.82,1194.51,0.1,39.037,35.891,77.586
