,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.908,462908.37,13088.29,0.34,22.025,35.43,75.187
1,3.396,2913380.06,122449.15,0.24,36.436,47.82,88.149
2,3.556,1975590.26,107644.09,0.21,89.865,79.116,74.608
3,3.872,17239.57,695.03,0.23,-2.531,4.828,52.889
4,4.072,0.0,0.0,0.18,-41.265,-44.396,-35.609
5,4.58,33289.81,964.86,0.27,19.832,23.836,69.058
6,4.832,21135394.45,1153860.53,0.3,45.765,48.89,94.957
7,5.076,15749.86,1676.69,0.11,30.747,30.615,75.084
8,5.232,328129.36,22720.58,0.16,52.011,54.918,94.802
9,5.36,11693.12,1127.04,0.1,31.552,33.749,73.639
