,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.4,1278869.29,49999.35,0.26,49.447,58.273,93.961
1,3.56,1337556.61,97014.86,0.1,89.889,79.465,77.446
2,3.588,950254.78,67938.23,0.13,87.665,77.181,83.156
3,4.132,10896.96,1162.79,0.1,45.244,46.632,78.87
4,4.58,5853730.8,388243.02,0.45,72.62,99.185,59.025
5,4.828,21384621.18,1183238.66,0.28,46.525,49.27,95.753
6,5.072,76066.71,6324.37,0.13,50.334,49.91,87.324
7,5.224,794548.77,54746.66,0.15,56.713,60.572,95.808
8,5.356,42393.43,3922.18,0.1,52.499,56.778,82.527
9,5.496,51513.5,4310.72,0.14,42.381,40.337,85.377
