,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.408,1352650.81,53806.23,0.28,50.523,56.913,95.725
1,3.568,2046398.19,105693.05,0.23,89.999,78.788,78.295
2,3.844,28314.43,1510.94,0.11,46.121,39.451,80.644
3,4.132,43372.14,2287.54,0.18,53.279,51.108,80.773
4,4.584,5838849.34,384550.0,0.48,72.89,99.148,59.869
5,4.832,21910549.35,1201549.2,0.26,47.319,49.495,96.607
6,5.068,196372.29,12263.91,0.14,51.944,47.076,90.514
7,5.228,619939.39,40985.39,0.16,57.047,56.442,97.137
8,5.356,56555.9,4071.52,0.12,48.503,44.114,82.598
