,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.044,0.0,0.0,1.15,-36.935,-44.168,-93.241
1,3.376,414029.68,19332.52,0.26,72.546,82.677,84.306
2,3.632,1619620.85,115163.13,0.18,63.313,51.849,91.269
3,4.144,60720.93,4106.14,0.14,54.961,67.431,81.739
4,4.588,16820848.61,989843.12,0.47,72.508,99.805,54.819
5,4.748,88148.34,8178.06,0.05,43.845,60.745,84.992
6,4.812,185418.42,11867.95,0.12,65.42,56.96,93.174
7,5.08,15216.05,1594.29,0.11,25.693,33.12,70.47
8,5.236,235483.53,16548.81,0.16,44.009,51.514,92.022
9,5.516,13854.28,1380.46,0.12,31.642,40.766,70.986
10,5.808,32412.84,1720.09,0.14,25.11,30.591,70.748
11,5.98,238749.11,10439.21,0.22,54.024,56.613,89.532
