,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.924,211196.99,5264.64,0.42,18.998,31.573,80.164
1,3.38,520017.15,21048.97,0.22,55.453,64.688,92.08
2,3.548,732577.34,32939.94,0.21,90.152,79.473,77.845
3,3.896,11322.1,924.39,0.11,46.738,53.033,71.399
4,3.96,0.0,0.0,0.09,30.985,41.496,47.586
5,4.116,56288.98,3061.57,0.2,57.566,72.617,77.397
6,4.576,5643841.9,376477.38,0.46,72.462,99.236,58.586
7,4.824,22650776.88,1209732.85,0.19,47.283,49.468,96.63
8,4.96,163445.41,11847.75,0.07,50.338,46.413,93.937
9,5.064,292282.97,19191.15,0.14,55.85,56.92,94.794
10,5.224,1416671.88,91721.43,0.15,56.13,60.42,94.504
11,5.352,136464.73,9248.82,0.11,58.383,65.748,87.545
12,5.968,17905.32,1072.4,0.13,27.54,24.124,74.179
