,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.9,1019684.23,26329.7,1.14,31.328,41.73,74.181
1,3.372,578923.17,27578.15,0.28,74.684,83.258,85.121
2,3.628,1957557.89,140051.3,0.19,63.593,51.921,91.002
3,3.784,0.0,0.0,0.28,48.741,55.293,62.819
4,4.144,125791.85,7437.84,0.15,59.277,68.692,84.768
5,4.588,22504814.36,1236669.17,0.46,72.265,99.999,51.385
6,4.744,128290.25,11123.26,0.05,53.286,67.364,89.657
7,4.808,226963.91,14733.44,0.14,67.568,57.712,92.719
8,5.076,23424.23,2315.62,0.14,36.176,39.333,77.678
9,5.232,336560.9,23142.38,0.16,48.646,54.12,94.67
10,5.36,9349.51,1046.08,0.1,36.642,41.85,73.572
11,5.516,20984.59,1963.39,0.14,42.226,47.942,76.995
12,5.8,47712.7,2473.59,0.14,35.122,37.214,77.416
13,5.976,352671.41,15238.29,0.24,61.409,61.602,92.536
