,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.908,160617.21,4720.74,0.4,29.126,42.074,84.202
1,3.388,1791164.12,71288.42,0.24,44.223,55.21,90.686
2,3.552,2341460.79,95573.61,0.24,90.011,79.655,75.603
3,3.904,10144.22,1054.63,0.14,39.682,47.987,71.576
4,4.124,24595.76,1604.73,0.19,39.782,47.882,78.379
5,4.572,5485154.78,355408.76,0.48,72.4,99.192,58.59
6,4.82,21329673.81,1155919.25,0.27,45.89,49.011,95.03
7,5.064,36992.09,3503.35,0.13,41.332,44.884,81.095
8,5.22,544506.66,37045.18,0.15,55.272,60.286,94.574
9,5.348,20334.25,2063.26,0.11,43.399,52.348,75.899
10,5.492,82297.37,6495.62,0.14,42.048,43.686,89.935
