,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.924,128232.04,5985.68,0.22,-11.2,10.882,34.065
1,3.024,142231.0,8642.18,0.1,-0.273,19.501,52.299
2,3.156,68582.31,3465.16,0.16,-11.432,8.957,37.83
3,3.392,88153.16,6031.01,0.16,13.223,29.804,69.085
4,3.552,13202044.15,640994.11,0.29,92.184,79.983,71.304
5,3.828,22390.89,1152.42,0.14,-27.176,-10.853,23.289
6,4.132,1217.59,144.62,0.19,-24.274,-13.437,40.045
7,4.472,34339.1,2814.5,0.13,26.201,30.749,70.268
8,4.564,15534.27,1597.51,0.1,27.888,31.667,67.77
9,4.676,11616.26,1279.04,0.12,28.098,30.477,69.378
10,4.824,21641278.31,1201015.77,0.25,47.024,49.385,96.335
11,5.044,42781.08,2658.22,0.15,22.685,26.366,73.348
12,5.224,43781.71,3645.54,0.12,27.23,30.22,77.424
