,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.916,290293.5,11015.24,0.34,34.582,40.583,88.662
1,3.392,3219880.67,130298.94,0.26,37.835,48.388,89.663
2,3.552,1224651.98,63037.35,0.22,89.699,78.516,78.083
3,3.808,31853.52,1426.03,0.2,26.259,24.199,76.778
4,4.012,1698.45,426.41,0.1,33.428,26.962,73.654
5,4.116,20715.84,1078.39,0.19,29.419,25.245,77.769
6,4.564,52248.16,2305.73,0.2,39.454,35.96,80.783
7,4.82,22096870.96,1201829.59,0.25,46.844,49.306,96.178
8,5.06,234070.28,14382.97,0.14,53.639,53.06,94.054
9,5.22,703903.88,46121.73,0.15,57.13,59.599,96.113
10,5.348,66564.74,4589.89,0.11,49.014,50.835,84.178
