,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.928,17108.59,973.34,0.2,35.935,37.716,77.392
1,3.392,674176.75,28207.64,0.22,52.573,60.666,94.443
2,3.556,505046.53,42222.06,0.09,89.408,79.319,80.304
3,3.616,611288.96,39492.66,0.14,66.592,56.081,92.955
4,4.14,1734.91,259.2,0.1,41.962,43.865,75.606
5,4.584,4885359.35,323513.33,0.44,72.576,99.114,59.357
6,4.832,18387571.12,1087962.95,0.28,44.604,48.458,93.371
7,5.076,32409.28,3064.6,0.12,43.28,43.027,82.05
8,5.232,462736.36,32067.86,0.16,55.269,58.819,96.032
9,5.36,15469.25,1662.04,0.1,44.219,47.359,78.25
10,5.508,26519.81,2215.52,0.14,36.928,35.702,80.511
