,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.904,108759.05,2748.73,0.26,23.165,35.799,76.832
1,3.396,3651610.08,145037.13,0.25,39.244,50.468,89.089
2,3.556,3947738.61,200442.8,0.22,90.19,79.387,74.068
3,3.82,16927.74,1068.67,0.1,22.354,32.002,68.226
4,4.136,2550.4,356.81,0.11,32.006,41.732,72.5
5,4.576,3008585.79,199185.91,0.44,72.258,99.013,59.603
6,4.824,20932139.01,1174493.89,0.27,46.098,49.081,95.341
7,5.068,26397.89,2576.21,0.12,35.459,39.887,77.726
8,5.228,352901.54,25255.15,0.16,54.069,59.158,94.291
9,5.356,13846.99,1486.61,0.1,35.795,44.751,73.224
