,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.904,110746.43,4421.88,0.33,44.726,43.454,94.702
1,3.388,5883625.84,240722.33,0.25,38.626,49.232,89.484
2,3.552,7175123.35,380285.81,0.24,90.903,79.47,73.406
3,3.824,29842.34,1323.09,0.2,38.726,31.632,80.641
4,4.132,8070.29,628.85,0.21,38.112,30.263,78.279
5,4.58,393496.5,22067.67,0.22,72.261,87.917,81.432
6,4.72,27952.73,1909.54,0.08,39.073,33.214,79.975
7,4.828,22285473.3,1178256.69,0.25,47.161,49.426,96.435
8,5.064,75322.84,4909.18,0.14,44.429,38.726,83.548
9,5.228,312125.75,21410.97,0.16,53.306,50.671,93.987
10,5.356,12731.08,1313.66,0.09,42.226,36.716,78.468
