,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.044,14700.34,1606.57,0.1,33.71,34.536,77.308
1,3.176,43869.93,2783.83,0.18,36.419,37.21,80.486
2,3.404,152692.97,8441.38,0.17,41.849,44.524,89.685
3,3.56,12757243.42,648417.84,0.28,92.296,79.95,71.892
4,4.136,8522.01,909.72,0.19,36.413,32.823,78.71
5,4.472,37637.94,1813.27,0.25,42.368,39.08,80.493
6,4.64,0.0,0.0,0.11,34.414,30.98,70.775
7,4.824,21170466.45,1186988.98,0.25,46.532,49.252,95.805
8,5.052,33281.58,2058.25,0.14,37.655,36.118,79.294
9,5.228,72358.88,5921.66,0.14,45.394,44.426,86.671
