,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.968,607262.17,14527.91,0.36,26.031,37.341,82.159
1,3.392,11914.3,1052.76,0.13,16.067,21.75,66.334
2,3.548,12646805.47,663568.1,0.29,92.407,80.02,71.34
3,3.824,24287.45,1214.6,0.2,8.123,12.974,63.732
4,4.136,3137.05,432.38,0.18,9.367,10.463,68.029
5,4.472,35013.77,3006.13,0.13,37.893,36.938,79.954
6,4.572,16262.65,1685.56,0.1,37.701,36.474,75.478
7,4.692,5700.38,762.06,0.11,36.288,33.813,72.354
8,4.828,22201579.08,1205417.7,0.26,46.998,49.372,96.336
9,5.052,76757.72,4511.07,0.14,30.949,32.756,81.074
10,5.228,72486.35,5714.85,0.14,34.23,35.971,83.879
