,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.044,0.0,0.0,1.23,-36.851,-44.173,-93.226
1,3.424,17524611.46,933737.38,0.22,39.925,51.111,91.628
2,3.624,722042.64,41193.05,0.18,62.218,50.382,92.29
3,3.904,22930.44,1704.07,0.14,40.558,34.673,80.572
4,4.08,0.0,0.0,0.2,6.483,-5.456,35.038
5,4.584,105449.65,6624.02,0.1,56.653,66.222,85.854
6,4.692,70392.49,3530.81,0.14,33.164,31.192,81.413
7,5.172,192916.38,9721.44,0.19,36.504,36.758,87.787
8,5.432,44419.25,3062.94,0.15,32.299,29.261,79.698
9,5.668,124918.96,7656.32,0.22,36.265,33.938,84.676
