,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.004,1471476.95,44856.89,0.32,29.524,40.865,79.505
1,3.164,1012938.54,32430.39,0.22,29.957,41.033,81.282
2,3.552,10391626.19,542323.81,0.31,91.568,79.742,72.045
3,4.064,0.0,0.0,0.2,-33.457,-40.709,-22.617
4,4.472,60485.43,5698.61,0.14,59.616,54.208,87.419
5,4.568,18302.06,2434.74,0.1,55.795,50.355,79.469
6,4.688,41437.0,4375.23,0.12,54.965,50.336,83.703
7,4.824,22811288.45,1213404.58,0.24,47.553,49.589,96.827
8,5.044,92615.17,5156.22,0.14,35.326,35.343,83.41
9,5.224,35597.33,2904.98,0.15,28.994,28.54,78.517
