,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.888,252757.48,6457.92,0.41,27.971,45.067,81.929
1,3.388,880555.25,35095.98,0.24,51.575,62.785,91.308
2,3.556,936098.13,68452.68,0.1,89.956,80.109,76.142
3,3.608,798142.86,49802.29,0.13,72.46,61.933,92.487
4,4.132,20064.94,1826.1,0.1,41.171,52.381,77.939
5,4.58,6432301.47,433411.49,0.45,72.369,99.256,58.131
6,4.828,21434769.74,1189893.86,0.28,46.58,49.289,95.823
7,5.076,62199.89,5570.0,0.12,45.103,50.687,84.424
8,5.232,763670.52,52734.11,0.16,55.569,61.153,93.774
9,5.36,42087.89,3813.99,0.12,48.139,61.297,78.502
10,5.504,144683.4,10959.92,0.15,46.361,48.702,94.604
11,5.988,14756.99,918.73,0.16,15.817,23.386,65.377
