,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.904,284836.23,7314.33,0.44,40.61,43.89,95.233
1,3.396,6868939.83,293664.13,0.26,38.274,49.11,89.04
2,3.556,8368479.65,471276.83,0.24,91.285,79.642,72.782
3,3.828,23334.32,1395.96,0.15,37.284,31.049,80.891
4,4.144,12934.98,1299.82,0.11,37.051,30.186,80.25
5,4.588,201166.05,12052.68,0.18,67.168,78.177,84.9
6,4.736,11479.26,904.77,0.07,37.049,31.292,77.492
7,4.836,23088297.89,1215720.28,0.26,48.047,49.716,97.31
8,5.076,26903.13,2211.51,0.13,41.555,35.46,79.872
9,5.24,234887.59,16952.22,0.15,51.407,48.504,92.539
10,5.364,8035.93,892.2,0.1,40.45,34.998,77.572
