,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.884,238487.97,6642.13,0.27,45.266,44.21,94.865
1,3.384,151372.14,6038.94,0.26,67.005,64.243,88.971
2,3.628,46569.45,4007.0,0.16,53.514,43.557,86.45
3,3.824,5357.4,603.05,0.12,44.625,37.668,78.732
4,4.052,930353.44,73219.53,0.12,89.739,79.407,81.065
5,4.164,909611.09,64428.89,0.16,46.6,53.825,96.363
6,4.588,4943189.58,330956.89,0.39,73.154,99.021,60.711
7,4.836,21681081.25,1187629.4,0.26,47.474,49.545,96.735
8,5.08,501208.95,30298.88,0.14,59.919,57.43,95.944
9,5.236,2556499.93,166337.87,0.15,57.205,60.585,95.517
10,5.368,260080.77,16935.97,0.14,62.378,64.389,89.202
11,5.572,14712.65,988.53,0.18,39.989,32.575,77.7
12,5.772,25638.05,2128.13,0.15,40.791,33.459,79.077
13,5.992,27066.87,1764.66,0.21,39.571,31.763,78.418
