,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.1,5920.1,454.76,0.32,37.305,31.793,78.062
1,3.408,4405315.02,185927.22,0.26,38.919,49.192,89.989
2,3.564,5316283.44,292204.96,0.23,90.433,79.221,74.311
3,3.98,0.0,0.0,0.09,34.832,24.178,69.014
4,4.132,33132.26,1883.34,0.19,39.328,32.409,81.463
5,4.584,340080.52,14470.41,0.28,67.995,72.986,90.107
6,4.728,242965.64,14953.62,0.11,45.709,44.523,93.875
7,4.836,22321048.12,1204551.3,0.24,47.313,49.487,96.582
8,5.076,405978.75,22529.87,0.14,58.909,56.194,95.542
9,5.236,1157335.35,73396.15,0.15,61.237,62.308,96.492
10,5.364,128571.91,8250.04,0.12,56.431,55.582,86.732
