,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.848,322409.18,8515.42,0.31,37.133,43.477,93.42
1,3.376,164781.49,6522.36,0.26,69.432,71.637,90.152
2,3.624,33354.26,2907.62,0.17,52.199,43.998,86.673
3,3.828,14525.76,691.09,0.18,41.318,38.081,78.918
4,3.96,0.0,0.0,0.11,43.116,38.257,64.711
5,4.12,89399.25,7690.94,0.09,55.638,59.707,90.4
6,4.584,5224915.25,336250.78,0.48,73.143,99.048,60.293
7,4.832,20195254.23,1123721.33,0.25,45.927,48.974,95.042
8,5.072,565236.43,33097.5,0.15,58.423,57.693,96.669
9,5.232,2262687.3,142613.45,0.15,56.712,60.323,95.37
10,5.36,250773.27,15433.35,0.12,61.011,64.099,89.544
