,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.904,502613.24,17665.67,0.4,35.555,45.908,87.534
1,3.388,3758883.95,146309.26,0.28,37.814,48.915,89.357
2,3.548,121922.16,6148.14,0.19,78.295,70.042,83.62
3,3.872,16844.35,700.83,0.21,24.358,29.032,70.76
4,4.132,6917.09,818.65,0.1,27.828,29.652,76.364
5,4.524,30185.19,920.2,0.3,26.705,30.368,72.572
6,4.82,22073147.73,1211106.74,0.28,47.027,49.425,96.375
7,5.068,12288.53,1454.28,0.11,35.581,37.482,75.937
8,5.224,279118.67,20266.14,0.16,53.376,57.426,94.661
9,5.352,8237.11,960.6,0.09,36.792,41.972,74.132
