,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.924,249765.86,4984.0,0.32,34.534,42.582,91.897
1,3.38,107792.58,4902.56,0.21,68.365,70.594,87.821
2,3.628,33223.26,2969.07,0.17,51.484,43.478,86.971
3,3.828,11142.14,699.94,0.12,38.966,36.086,78.003
4,4.124,63190.58,5909.53,0.09,53.797,57.322,88.746
5,4.196,35255.42,2916.84,0.1,57.501,61.847,81.373
6,4.588,4797339.59,312450.93,0.47,73.087,99.019,60.475
7,4.836,20567006.98,1141450.92,0.25,46.341,49.131,95.539
8,5.08,557465.18,32421.97,0.14,59.013,58.246,96.505
9,5.236,2476599.77,157182.28,0.15,56.358,60.24,95.095
10,5.364,275010.98,16755.35,0.13,61.636,65.515,89.901
11,5.78,13445.12,954.93,0.16,36.598,29.962,76.974
12,5.992,17018.07,1111.5,0.14,36.641,29.739,77.116
