,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.088,1897.8,206.96,0.14,43.177,34.592,77.591
1,3.412,5526924.87,232943.92,0.26,39.752,49.658,90.657
2,3.568,6612296.54,351649.6,0.25,90.767,79.317,74.376
3,4.152,36058.39,2670.55,0.17,44.033,35.015,81.908
4,4.552,33342.38,1437.07,0.26,44.406,35.396,79.506
5,4.832,22623888.71,1197645.12,0.27,47.905,49.676,97.162
6,5.076,25997.31,2464.76,0.12,45.176,37.012,80.218
7,5.232,305948.72,21809.4,0.16,53.809,49.524,92.937
8,5.36,10265.11,1109.55,0.1,44.458,37.161,78.446
