,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.968,275540.71,6357.33,0.38,14.506,28.127,73.446
1,3.396,212093.07,11611.89,0.16,28.613,39.727,85.167
2,3.556,13643872.99,699914.7,0.28,92.64,80.102,71.114
3,3.828,20301.66,1130.92,0.17,1.578,9.382,57.078
4,4.136,6533.34,746.73,0.1,5.823,10.051,66.044
5,4.476,54678.37,2371.09,0.25,25.759,28.478,73.015
6,4.644,0.0,0.0,0.11,11.829,13.097,53.315
7,4.828,22155389.54,1202691.28,0.25,46.856,49.321,96.205
8,5.06,92326.37,5054.58,0.14,31.993,34.915,81.093
9,5.232,105543.08,8200.08,0.15,40.346,42.96,86.986
