,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.904,154827.47,4351.99,0.34,1.76,18.223,62.342
1,3.392,605674.07,27703.04,0.23,33.671,44.8,88.8
2,3.556,11926733.75,621911.67,0.28,92.01,79.91,71.677
3,3.96,0.0,0.0,0.1,-17.853,-15.391,22.995
4,4.12,32270.03,2037.82,0.18,19.026,21.922,76.437
5,4.564,205862.94,8970.61,0.15,59.017,61.298,89.082
6,4.828,24959825.52,1249210.86,0.25,48.121,49.737,97.425
7,5.068,581980.65,29554.63,0.15,57.874,60.44,95.239
8,5.232,1180417.21,73992.05,0.15,59.895,63.186,94.157
9,5.36,126359.01,8353.55,0.11,56.905,64.41,86.556
