,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.904,300300.9,7659.42,0.34,-5.273,15.114,36.889
1,3.388,6125631.42,225102.89,0.26,36.671,48.241,87.645
2,3.548,7298995.0,344119.88,0.24,90.636,79.41,72.598
3,3.816,28188.97,1245.62,0.2,-32.468,-14.125,16.364
4,4.128,4926.28,362.11,0.19,-35.511,-19.067,27.003
5,4.568,209017.87,12115.07,0.18,65.159,91.791,70.365
6,4.712,20207.74,1746.78,0.07,6.676,16.723,61.585
7,4.816,23238350.83,1226169.96,0.26,47.51,49.542,96.87
8,5.056,45169.16,3495.34,0.11,28.17,33.837,75.773
9,5.22,284639.18,20411.25,0.15,49.732,55.112,92.578
10,5.348,11870.71,1247.06,0.11,23.612,33.097,66.401
11,5.624,4519.41,476.75,0.1,4.17,9.346,58.445
