,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.008,1266152.26,32767.05,0.33,38.507,45.891,90.045
1,3.152,693022.98,21773.6,0.2,41.716,47.085,93.82
2,3.392,28283.89,1587.55,0.1,42.498,36.204,82.236
3,3.552,11469255.11,596817.91,0.29,91.991,79.874,72.137
4,3.828,21995.82,1148.16,0.13,39.852,31.651,80.28
5,4.14,2054.05,239.57,0.16,38.088,28.816,77.604
6,4.472,35913.97,2625.69,0.14,46.071,37.649,82.589
7,4.564,20911.34,1720.64,0.1,44.789,36.791,80.262
8,4.684,17185.79,1549.59,0.12,44.576,36.695,79.702
9,4.824,21073433.71,1151407.05,0.24,46.585,49.226,95.778
10,5.04,35357.84,2093.82,0.14,39.538,33.042,79.516
11,5.228,21185.15,1851.98,0.12,39.377,32.597,79.074
