,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.1,2867.68,333.92,0.28,42.103,34.645,78.665
1,3.388,181684.63,6281.61,0.32,65.7,61.93,89.921
2,3.632,10292.86,934.77,0.13,46.538,37.696,80.234
3,3.908,3251.54,468.18,0.1,51.809,41.996,78.508
4,4.124,77092.68,7766.05,0.08,49.658,46.383,89.806
5,4.196,61372.48,5048.51,0.12,53.015,48.604,86.427
6,4.588,4447595.28,295059.76,0.41,73.337,98.902,61.562
7,4.836,19643031.07,1137389.7,0.25,46.432,49.178,95.597
8,5.08,727066.37,43735.4,0.14,60.652,59.223,97.064
9,5.236,3232802.97,213845.72,0.15,56.743,60.467,95.155
10,5.364,348493.92,22443.83,0.12,64.193,67.316,90.222
11,5.772,16323.45,1284.89,0.16,39.862,32.013,78.02
12,5.988,11766.01,857.82,0.09,39.319,31.18,77.426
