,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.904,179755.64,5354.44,0.34,-14.997,7.971,27.85
1,3.384,5069142.03,201097.32,0.25,36.444,48.076,87.581
2,3.548,5937346.33,312666.41,0.23,90.473,79.363,72.833
3,3.824,36340.94,1483.49,0.23,-28.986,-10.746,21.323
4,4.124,25901.67,1460.25,0.19,-18.231,-2.079,47.387
5,4.576,258072.04,11794.53,0.18,62.606,84.268,77.323
6,4.72,116323.64,7043.16,0.11,20.492,31.467,79.024
7,4.824,22654593.02,1204647.0,0.24,46.773,49.289,96.115
8,5.064,216897.4,12201.82,0.15,45.908,51.643,90.09
9,5.228,670268.18,43748.54,0.15,55.875,60.783,93.197
10,5.356,63265.02,4351.93,0.12,41.612,53.815,78.225
