,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.408,2596116.45,104614.71,0.26,42.777,51.48,92.865
1,3.564,3458285.06,180063.56,0.23,90.256,79.015,76.159
2,3.844,22799.05,1303.84,0.17,44.653,36.665,80.327
3,4.124,29433.19,1457.68,0.19,50.932,46.98,80.341
4,4.584,2390111.84,151929.59,0.44,73.719,98.613,63.723
5,4.832,21881151.15,1192429.47,0.25,47.131,49.425,96.401
6,5.072,249690.59,15066.32,0.14,54.903,50.202,92.312
7,5.232,722393.6,47252.98,0.15,59.193,58.678,97.289
8,5.36,66507.61,4835.2,0.11,51.43,47.457,83.455
9,5.516,6779.09,580.75,0.14,40.501,32.623,77.625
