,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.944,78781.52,2938.73,0.18,35.508,35.646,86.295
1,3.4,3185297.41,128841.31,0.24,40.545,50.786,90.555
2,3.56,3624989.87,190519.27,0.23,90.306,79.241,74.863
3,3.856,9990.15,486.2,0.16,38.511,34.476,77.26
4,4.008,1645.32,292.46,0.11,50.026,46.884,76.53
5,4.136,14943.42,916.94,0.18,49.367,50.145,78.591
6,4.58,2814702.5,181314.73,0.49,72.866,98.9,61.562
7,4.828,20734110.54,1161416.02,0.26,46.394,49.143,95.627
8,5.068,58986.22,4106.51,0.14,43.217,38.221,83.067
9,5.228,280767.49,19675.7,0.16,52.699,51.027,94.299
10,5.36,13150.28,1270.24,0.1,40.644,36.177,78.16
