,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.912,706438.31,21277.26,0.38,12.044,29.303,58.743
1,3.396,1326434.64,53518.43,0.3,30.316,44.431,82.945
2,3.612,13274.39,1208.92,0.17,-18.893,-4.515,24.938
3,3.828,37249.59,1496.4,0.23,-52.032,-30.081,-25.375
4,4.132,6077.89,507.6,0.18,-61.589,-39.433,-17.877
5,4.544,27614.19,1540.85,0.22,-12.304,4.244,30.85
6,4.82,22100115.35,1198626.09,0.28,46.817,49.305,96.143
7,5.064,98985.99,7231.0,0.12,38.025,45.233,82.366
8,5.22,600871.7,40787.34,0.15,53.708,59.36,92.762
9,5.348,56508.18,4160.67,0.11,37.389,50.765,75.283
