,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.904,232132.7,4988.04,0.4,-17.619,4.909,27.611
1,3.392,824078.64,35874.33,0.21,42.987,55.163,88.494
2,3.552,5102703.67,266415.55,0.24,90.345,79.396,73.063
3,3.892,21686.83,912.8,0.18,13.881,33.511,42.828
4,4.008,2388.6,318.81,0.1,28.471,54.382,34.642
5,4.12,57793.39,2897.83,0.19,54.685,78.66,71.588
6,4.576,3925839.63,257487.52,0.28,72.257,99.152,58.818
7,4.824,22369418.84,1181779.83,0.26,46.463,49.173,95.752
8,5.064,160263.36,10657.28,0.13,45.943,49.219,90.302
9,5.224,688628.23,44543.08,0.16,52.893,57.775,94.517
10,5.352,50298.24,3652.39,0.11,41.62,49.298,79.394
