,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.928,232888.21,5512.34,0.38,-10.577,11.757,37.727
1,3.388,2444801.73,99961.51,0.24,40.964,52.453,88.554
2,3.552,2788558.24,145306.22,0.22,90.027,79.359,73.738
3,3.816,21236.14,1014.68,0.25,5.721,20.548,52.416
4,4.128,11041.0,718.84,0.19,36.011,51.55,70.455
5,4.576,5410637.01,347917.16,0.48,72.276,99.134,58.748
6,4.824,23680177.87,1233036.06,0.26,47.746,49.635,97.061
7,5.068,211074.27,12402.36,0.14,50.118,52.463,92.111
8,5.224,1005138.67,64956.91,0.15,54.88,59.474,94.397
9,5.352,100675.14,6725.58,0.13,51.14,58.794,85.444
10,5.968,14920.44,914.12,0.2,25.208,22.935,72.402
