,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.028,287363.5,14219.41,0.13,28.512,40.052,83.218
1,3.172,297328.44,12132.34,0.18,29.515,40.521,83.374
2,3.56,12065418.99,607237.99,0.32,91.961,79.873,71.866
3,4.144,2453.76,354.69,0.2,16.333,21.917,68.806
4,4.472,24434.53,2179.08,0.13,36.643,39.884,75.999
5,4.572,10216.17,1222.53,0.1,37.34,40.343,72.645
6,4.692,7427.78,825.26,0.12,36.559,38.483,71.191
7,4.828,21152186.89,1181561.75,0.24,46.293,49.159,95.559
8,5.048,27484.91,1827.29,0.15,25.409,30.452,72.913
9,5.228,27227.78,2340.3,0.14,24.66,30.406,74.088
