,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.38,159707.94,5640.01,0.28,65.521,62.277,90.337
1,3.628,11044.76,1033.07,0.16,46.566,37.738,80.785
2,4.124,47315.77,4919.2,0.08,48.75,44.669,86.776
3,4.196,42183.43,3522.63,0.11,51.628,47.175,84.616
4,4.588,4141585.07,272326.5,0.42,73.298,98.903,61.552
5,4.836,20820403.03,1159163.35,0.2,46.896,49.343,96.122
6,5.08,752312.48,44751.38,0.14,62.524,61.115,96.918
7,5.236,3757861.78,240201.55,0.16,57.654,61.373,94.661
8,5.364,414542.48,25445.71,0.14,66.402,70.632,90.502
9,5.772,23710.34,1763.38,0.16,40.189,32.549,78.577
10,5.992,22706.78,1593.79,0.14,39.615,31.689,78.185
