,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.368,172421.27,5731.18,0.31,62.131,57.401,90.109
1,3.632,8900.39,789.77,0.18,47.476,37.847,79.776
2,4.196,8468.28,1080.99,0.09,49.878,42.952,79.724
3,4.588,4052720.97,254376.72,0.47,73.227,98.845,62.004
4,4.836,16998153.35,1021549.31,0.26,44.462,48.318,93.12
5,5.08,354836.67,20410.91,0.13,56.229,51.773,93.417
6,5.236,1706592.35,109476.64,0.15,57.971,59.922,96.876
7,5.36,184989.86,11614.64,0.12,56.41,54.803,87.395
8,5.768,24828.44,1728.67,0.16,41.342,33.212,78.696
9,5.992,25705.6,1624.93,0.21,40.546,32.184,78.376
