,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.04,273222.14,18112.83,0.12,35.27,43.108,87.273
1,3.18,477910.01,21498.88,0.18,36.984,44.869,88.941
2,3.564,11527857.23,582270.38,0.35,91.859,79.818,72.188
3,4.144,5180.55,669.32,0.14,32.633,30.797,77.61
4,4.476,25408.65,2178.35,0.14,44.002,41.779,81.214
5,4.572,9267.22,1174.45,0.1,43.955,41.696,77.699
6,4.692,4497.47,587.36,0.12,42.902,39.959,75.705
7,4.828,22279514.48,1209094.67,0.24,47.168,49.481,96.491
8,5.044,16471.8,1142.68,0.14,33.608,33.239,76.29
9,5.228,17588.97,1672.43,0.12,32.358,32.548,77.336
