,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.888,111119.58,4270.75,0.25,14.733,33.936,64.264
1,3.028,149640.2,9937.49,0.11,20.8,36.963,74.54
2,3.172,105939.11,4882.35,0.16,17.578,33.41,68.912
3,3.56,13346440.61,590636.53,0.44,91.867,79.865,71.777
4,4.136,10348.05,1131.36,0.18,11.238,24.922,68.228
5,4.472,26551.88,2067.05,0.12,25.675,37.357,66.487
6,4.572,17034.2,1684.31,0.11,34.049,48.205,66.619
7,4.644,0.0,0.0,0.1,8.347,18.959,44.362
8,4.824,21996245.82,1211647.22,0.25,47.115,49.473,96.461
9,5.04,13439.18,976.32,0.14,17.254,27.499,64.39
10,5.224,39341.51,3479.56,0.15,25.217,35.73,74.37
11,5.5,23995.26,1823.16,0.12,15.771,26.182,66.873
