,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.048,0.0,0.0,1.21,-37.036,-44.36,-93.076
1,3.432,9442982.15,560969.64,0.22,37.714,49.014,88.634
2,3.632,319036.03,18442.98,0.17,59.1,49.075,94.051
3,3.872,12826.09,598.38,0.2,-10.331,-2.851,45.739
4,4.076,0.0,0.0,0.18,-52.207,-54.351,-46.224
5,4.592,49182.34,3034.75,0.1,35.527,47.702,76.89
6,4.692,30830.07,1534.61,0.14,15.182,18.238,68.214
7,5.172,97157.46,4707.25,0.22,22.902,25.985,77.688
8,5.44,18479.73,1392.99,0.11,19.03,19.522,70.686
9,5.676,50998.05,3452.32,0.12,26.048,25.864,77.835
