,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.856,188766.11,6429.51,0.3,33.135,41.148,91.265
1,3.372,135887.59,5692.55,0.29,64.91,67.741,89.576
2,3.624,24269.23,2334.94,0.17,49.316,41.486,85.274
3,3.824,8423.2,671.97,0.16,37.385,34.927,77.347
4,4.12,44998.2,4540.11,0.09,52.099,54.99,86.424
5,4.192,25704.13,2323.15,0.1,55.55,59.455,80.127
6,4.584,4815765.37,325034.69,0.45,73.039,99.041,60.329
7,4.832,18807130.99,1110886.48,0.26,45.677,48.859,94.764
8,5.072,426437.27,25699.97,0.14,56.099,54.879,95.691
9,5.232,1698831.15,112817.91,0.16,55.969,59.373,95.915
10,5.36,184639.63,11998.79,0.12,56.886,58.702,88.387
