,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.048,0.0,0.0,1.11,-36.796,-44.223,-92.745
1,3.312,779.33,144.68,0.04,21.759,28.798,66.297
2,3.424,4378.18,484.27,0.1,23.919,30.643,68.559
3,3.572,4856934.07,317203.72,0.24,90.452,79.354,73.567
4,3.956,0.0,0.0,0.12,8.396,14.195,45.276
5,4.08,0.0,0.0,0.17,-14.992,-15.321,-6.661
6,4.584,92835.75,3022.48,0.36,40.047,52.137,79.076
7,5.46,668.58,139.53,0.05,21.084,24.625,67.249
8,5.708,717.03,108.86,0.07,20.843,24.245,67.052
