,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.408,4531479.58,182019.48,0.26,39.469,49.399,90.571
1,3.564,5867691.56,296057.77,0.23,90.519,79.185,74.496
2,3.844,28527.96,1468.42,0.17,41.868,33.122,80.968
3,4.18,40111.82,2192.96,0.2,46.631,37.41,82.916
4,4.576,375574.77,15261.2,0.29,68.313,70.697,91.19
5,4.716,383504.5,23739.76,0.11,47.709,47.822,96.452
6,4.824,23182914.4,1212919.53,0.24,47.517,49.556,96.797
7,5.064,368862.71,20158.71,0.14,58.657,54.972,94.938
8,5.224,1150033.33,72576.22,0.16,62.132,62.731,96.602
9,5.352,131225.59,8545.17,0.13,57.629,56.076,87.05
