,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.904,121821.96,3854.18,0.42,21.121,36.728,75.273
1,3.392,772454.34,36374.32,0.21,37.685,49.309,89.97
2,3.548,13772241.87,623293.18,0.29,92.121,79.948,71.667
3,4.124,12234.8,1153.3,0.12,21.799,29.73,74.027
4,4.568,383922.12,25923.58,0.15,70.572,96.75,67.436
5,4.816,22374430.44,1224600.61,0.26,47.283,49.523,96.643
6,5.06,85704.34,4647.16,0.15,38.736,44.951,80.83
7,5.22,245197.47,18705.44,0.14,55.027,60.112,92.892
8,5.348,5883.19,835.79,0.11,30.482,40.505,67.975
9,5.492,8054.41,760.03,0.16,17.6,24.412,65.738
