,Rshift,20250201_124519_723
0,-27.28431624923972,-20.293541666666442
1,-24.137810440559743,11.63145833333374
2,-20.992855305911224,31.74395833333392
3,-17.849449699264277,6.502291666666224
4,-14.709577990190768,10.539791666666588
5,-11.570259296931825,-7.426875000000564
6,-8.432485724277697,21.31895833333374
7,-5.297247424298958,7.689791666666224
8,-2.163550990117585,-11.110208333333048
9,0.9686047153885033,1.3231249999994361
10,4.098230996806874,13.181458333333921
11,7.226319793020991,9.8606249999998
12,10.351883377225125,27.81895833333374
13,13.47690108550667,-42.83937500000002
14,16.599396813964887,-10.981041666666442
15,19.71937314585023,5.664791666666588
16,22.838806501711186,208.03145833333338
17,25.95572368194708,212.76479166666695
18,29.070127261761424,186.38145833333374
19,32.18399075351902,200.74812499999962
20,35.29534385461391,159.4189583333332
21,38.40517363784589,114.62312499999962
22,41.51249719788232,158.1647916666666
23,44.61928418112446,160.6147916666664
24,47.72258507542738,176.33145833333356
25,50.82535162225085,123.10229166666659
26,53.926601392168415,140.70645833333356
27,57.02437225535298,160.3606249999998
28,60.12063048208482,129.25645833333374
29,63.215377180019566,140.09812499999998
30,66.30959363994587,134.18979166666622
31,69.40034041471665,180.9772916666666
32,72.48860070466732,163.58979166666677
33,75.57731329740307,150.0439583333332
34,78.66256333475965,120.7939583333332
35,81.74631037256418,142.36895833333392
36,84.82855550884238,130.55645833333392
37,87.90929984055099,147.53562499999998
38,90.98756809333871,148.7356249999998
39,94.06433868236475,130.99395833333392
40,97.1405881209893,161.68979166666622
41,100.21339123894579,158.43979166666622
42,103.28470091617095,148.86895833333392
43,106.35354424187857,122.62312499999962
44,109.42187077517436,134.38145833333374
45,112.48676102238159,152.00229166666622
46,115.55113664681949,118.51479166666695
47,118.61402520538982,121.39395833333356
48,121.67445614213274,136.13979166666695
49,124.73243195142234,130.6689583333332
50,127.78989651750489,152.53562499999998
51,130.84490905385366,128.68979166666622
52,133.89844180364437,121.0522916666664
53,136.94952655484522,157.00229166666622
54,139.9991346065499,144.99812499999962
55,143.04726703056593,126.95229166666695
56,146.09295701676533,161.56479166666622
57,149.13717445172796,156.9189583333332
58,152.18088734856704,208.34395833333338
59,155.22216241584337,140.49812499999962
60,158.26003610937104,175.80645833333392
61,161.29740892735327,143.2272916666666
62,164.33331545412594,176.6106249999998
63,167.36679213777288,195.7939583333332
64,170.39880558285302,194.90645833333338
65,173.42839316438452,181.26479166666695
66,176.45652055224213,165.9814583333332
67,179.48318880184246,213.6731249999998
68,182.50936125878457,185.63979166666695
69,185.532152102855,186.4772916666666
70,188.5525265301561,220.99395833333392
71,191.57336968606344,210.15229166666677
72,194.59083808475233,215.08979166666677
73,197.60685550341933,221.13979166666695
74,200.6195039541193,208.38979166666695
75,203.6335825290436,208.64812499999925
76,206.64429514705586,216.05645833333392
77,209.6516456142998,232.33145833333356
78,212.66042610825713,250.59395833333338
79,215.66584745221635,242.93562499999962
80,218.6688701982906,213.24812499999962
81,221.6704530579928,234.02312499999925
82,224.67155290628202,228.03562499999998
83,227.67025864025692,255.8647916666664
84,230.66561774334488,237.58562499999925
85,233.66145185846995,243.63562499999944
86,236.65489724395556,256.95229166666695
87,239.64595629990657,212.70229166666695
88,242.63558452041616,234.21062499999925
89,245.62378293194837,264.75645833333374
90,248.60960037381219,258.69812499999944
91,251.59399096676356,282.02729166666677
