,Rshift,20250201_121923_791
0,-27.28431624923972,0.5133333333324117
1,-24.137810440559743,0.8133333333325936
2,-20.992855305911224,17.6924999999992
3,-17.849449699264277,-18.520000000000437
4,-14.709577990190768,13.729999999999563
5,-11.570259296931825,7.40083333333223
6,-8.432485724277697,6.71333333333223
7,-5.297247424298958,24.559166666666897
8,-2.163550990117585,8.550833333332776
9,0.9686047153885033,-7.3866666666672245
10,4.098230996806874,-22.457500000000437
11,7.226319793020991,-32.95333333333383
12,10.351883377225125,-14.190833333333103
13,13.47690108550667,23.65916666666635
14,16.599396813964887,-22.75750000000062
15,19.71937314585023,33.279999999999745
16,22.838806501711186,186.69666666666672
17,25.95572368194708,160.17583333333278
18,29.070127261761424,196.5633333333326
19,32.18399075351902,149.34666666666635
20,35.29534385461391,135.47999999999956
21,38.40517363784589,117.29666666666617
22,41.51249719788232,109.13416666666672
23,44.61928418112446,126.75916666666672
24,47.72258507542738,113.63833333333241
25,50.82535162225085,131.26749999999993
26,53.926601392168415,134.5008333333326
27,57.02437225535298,134.65916666666635
28,60.12063048208482,122.22583333333296
29,63.215377180019566,150.60499999999956
30,66.30959363994587,140.55083333333278
31,69.40034041471665,160.4508333333324
32,72.48860070466732,195.88416666666672
33,75.57731329740307,122.59666666666635
34,78.66256333475965,126.39666666666653
35,81.74631037256418,118.5674999999992
36,84.82855550884238,115.36333333333278
37,87.90929984055099,142.34666666666635
38,90.98756809333871,153.4383333333326
39,94.06433868236475,115.98416666666617
40,97.1405881209893,131.42583333333278
41,100.21339123894579,129.96749999999975
42,103.28470091617095,138.79666666666617
43,106.35354424187857,124.57583333333241
44,109.42187077517436,140.36333333333278
45,112.48676102238159,125.14666666666653
46,115.55113664681949,147.4424999999992
47,118.61402520538982,170.51749999999993
48,121.67445614213274,178.70916666666653
49,124.73243195142234,151.92999999999938
50,127.78989651750489,137.54249999999956
51,130.84490905385366,124.02999999999975
52,133.89844180364437,159.49249999999938
53,136.94952655484522,160.24249999999938
54,139.9991346065499,133.97166666666635
55,143.04726703056593,154.7466666666669
56,146.09295701676533,153.89666666666653
57,149.13717445172796,148.80083333333278
58,152.18088734856704,157.3174999999992
59,155.22216241584337,174.65916666666635
60,158.26003610937104,177.46333333333223
61,161.29740892735327,149.45499999999993
62,164.33331545412594,194.20499999999993
63,167.36679213777288,158.10499999999956
64,170.39880558285302,188.14666666666653
65,173.42839316438452,188.63416666666672
66,176.45652055224213,211.3716666666669
67,179.48318880184246,203.58416666666653
68,182.50936125878457,200.65083333333223
69,185.532152102855,205.33833333333223
70,188.5525265301561,210.70499999999993
71,191.57336968606344,203.21333333333223
72,194.59083808475233,237.77583333333223
73,197.60685550341933,237.22166666666635
74,200.6195039541193,217.83833333333223
75,203.6335825290436,235.40083333333223
76,206.64429514705586,207.00916666666672
77,209.6516456142998,229.0133333333324
78,212.66042610825713,217.1383333333324
79,215.66584745221635,236.72166666666635
80,218.6688701982906,235.7466666666669
81,221.6704530579928,247.32999999999993
82,224.67155290628202,268.41333333333296
83,227.67025864025692,269.89666666666653
84,230.66561774334488,238.4966666666669
85,233.66145185846995,235.28416666666635
86,236.65489724395556,274.3091666666669
87,239.64595629990657,291.9966666666669
88,242.63558452041616,264.33416666666653
89,245.62378293194837,276.90499999999975
90,248.60960037381219,283.03416666666635
91,251.59399096676356,284.9341666666669
92,254.57695573333737,296.77999999999975
93,257.5584956950971,325.5716666666667
94,260.5367111357406,317.64666666666653
95,263.51445554100974,322.5008333333326
96,266.4907791062013,353.9341666666669
97,269.4647338389515,404.79249999999956
98,272.4372706690054,468.60499999999956
99,275.40839061015055,561.5091666666667
100,278.3771470222574,716.7716666666665
101,281.34354227106166,1015.7633333333324
102,284.3104189718883,1433.6258333333326
103,287.27304392780604,1900.1341666666667
104,290.2342597498509,2369.9591666666665
105,293.19501284369574,2788.2174999999997
106,296.15435791399693,3209.5008333333326
107,299.11135146313717,3556.7216666666664
108,302.06599584060206,3791.946666666666
109,305.020180602477,3976.467499999999
110,307.97107593352354,4095.9174999999996
111,310.9205709374285,4142.821666666666
112,313.8696088729118,4200.904999999999
113,316.81630576431763,4171.717499999999
114,319.7616053156739,4281.8925
115,322.70362667554014,4230.463333333332
116,325.6461354188213,4390.113333333332
117,328.5863097684562,4424.471666666667
118,331.5232124643944,4621.213333333332
119,334.4596645888623,4762.863333333332
120,337.3956657948935,4841.246666666667
121,340.32746272332156,5060.300833333332
122,343.2588115920873,5209.046666666666
123,346.18877468724133,5359.8675
124,349.1164160675589,5593.942499999999
125,352.0426745233984,5878.43
126,354.9666149953233,6177.73
127,357.89011098210506,6608.400833333333
128,360.810356668617,7291.175833333332
129,363.730159822777,8178.1883333333335
130,366.64858582226634,9038.363333333331
131,369.5647018076031,9576.4925
132,372.47851007211335,9812.171666666665
133,375.3909458601356,8642.18
134,378.3020101411441,8316.913333333334
135,381.2107718077643,7171.575833333333
136,384.1190964182033,6513.246666666667
137,387.0260524242806,6052.259166666666
138,389.92977926968416,5804.621666666667
139,392.8321411918916,5604.93
140,395.73313915306505,5475.600833333333
141,398.63277411446904,5444.0425
142,401.53011802317604,5389.692499999999
143,404.42610172424645,5334.071666666666
144,407.32072617531486,5310.2425
145,410.21306462703984,5307.004999999999
146,413.10404661153893,5110.125833333333
147,415.99274624637286,5249.2508333333335
148,418.88101859200884,5122.546666666666
149,421.7670113614339,5056.434166666667
150,424.6507268069978,5177.105
151,427.534017380677,5130.6175
152,430.4150333946642,5073.696666666665
153,433.29377709457617,5061.6675
154,436.171174526634,5090.7091666666665
155,439.0481500067328,5026.2716666666665
156,441.9219343629885,5017.904999999999
157,444.7943761439507,4977.1883333333335
158,447.6663983684335,4993.363333333333
159,450.53615738925754,4956.638333333334
160,453.4036554368587,4888.713333333332
161,456.2698155263778,4782.4925
162,459.13371823570486,4766.342499999999
163,461.99720564598897,4713.721666666666
164,464.85751890297826,4695.779999999999
165,467.71741872718127,4656.738333333332
166,470.57598612114396,4716.975833333334
167,473.4313855832414,4727.446666666666
168,476.28729176382114,4786.663333333334
169,479.1400335802938,4712.659166666667
170,481.9905314565158,4628.317499999999
171,484.84062061516414,4501.484166666666
172,487.68846853613957,4348.155
173,490.5359087351512,4117.955
174,493.3792799303744,3730.455
175,496.22407571145703,3682.4133333333334
176,499.06480688058537,3443.125833333333
177,501.90513400978284,3233.2758333333322
178,504.742316141402,3063.6549999999997
179,507.58092228765565,2919.3966666666665
180,510.41547342909644,2759.6841666666664
181,513.2477988173791,2662.4341666666664
182,516.0815480007475,2578.0424999999996
183,518.9103381523065,2519.1799999999994
184,521.7387302367048,2478.379999999999
185,524.5667238977102,2372.5758333333333
186,527.3915883150893,2347.379999999999
187,530.2151463911312,2309.1799999999994
188,533.0383083453657,2198.955
189,535.8592560354984,2274.2008333333324
190,538.6770831531306,2170.0091666666667
191,541.4945172807625,2163.8841666666663
192,544.3106504268214,2129.9383333333326
193,547.1254834922145,2113.129999999999
194,549.9372037825524,2077.7466666666664
195,552.7476274645466,2053.188333333333
196,555.557661396232,2028.1716666666662
197,558.3654941332069,1998.3591666666662
198,561.1711278231132,2003.9133333333334
199,563.9763740302524,1960.8799999999992
200,566.7785195179079,1940.8424999999997
201,569.5802793070004,1932.7299999999996
202,572.3789426562782,1920.7675
203,575.1781251319061,1934.6133333333332
204,577.9742146080273,1892.8633333333328
205,580.7690188937156,1932.6716666666657
206,583.5634406759264,1949.2549999999992
207,586.3547754365092,1955.375833333333
208,589.1448284899731,1955.6258333333326
209,591.9336007189041,1971.9008333333327
210,594.7210930050775,1953.5133333333329
211,597.5055067627944,1905.8633333333328
212,600.2895433101347,1900.5883333333322
213,603.0732022878761,1873.788333333333
214,605.8537878481096,1834.8633333333328
215,608.6322014233208,1892.58
216,611.4093427963033,1983.08
217,614.1861101036463,2014.4758333333334
218,616.9598124291359,1952.2758333333327
219,619.7331424337686,1872.3383333333327
220,622.505203725734,1754.0341666666664
221,625.2742059305338,1706.0924999999997
222,628.0419428000752,1682.0258333333322
223,630.8075203969969,1684.3758333333326
224,633.5736240010797,1672.3549999999996
225,636.3366760769657,1655.5716666666667
226,639.098467097401,1625.1841666666664
227,641.8589979255039,1625.4716666666664
228,644.6182694236076,1658.284166666666
229,647.3744977383801,1634.413333333333
230,650.1303620232678,1649.7133333333327
231,652.8849703729016,1659.0383333333334
232,655.6365413689031,1679.6133333333332
233,658.3877505014291,1685.2549999999992
234,661.1377070819738,1727.4049999999997
235,663.8855220435962,1794.100833333333
236,666.6320869725545,1838.6508333333327
237,669.3765136087061,1869.7424999999994
238,672.1196927253785,1983.350833333333
239,674.8607368678764,2003.9133333333334
240,677.6005359979608,1931.6299999999992
241,680.3408659606193,1855.8758333333326
242,683.0772897079983,1749.3925
243,685.8124717904553,1711.8925
244,688.545526761953,1675.2466666666664
245,691.2782284505098,1659.6674999999996
246,694.0088055188429,1628.063333333333
247,696.7381450997262,1672.1383333333324
248,699.4662480342079,1690.375833333333
249,702.1922308778788,1638.0924999999997
250,704.9169795556986,1678.205
251,707.6404949056167,1668.938333333333
252,710.3618946801053,1672.6924999999992
253,713.0811809136846,1661.2133333333327
254,715.7992379247568,1707.2924999999996
255,718.5178303221388,1715.9924999999994
256,721.232549101209,1745.959166666666
257,723.946923043364,1804.8716666666664
258,726.6591903985808,1823.4633333333327
259,729.3702334856129,1887.563333333333
260,732.0791732343926,1976.6341666666663
261,734.7860116633555,2060.1799999999994
262,737.4933881052642,2146.521666666666
263,740.1986648794762,2171.8591666666657
264,742.9009656863793,2125.913333333333
265,745.6038053949877,2135.2383333333332
266,748.3027948427829,2080.2466666666664
267,751.0023240452123,2016.1674999999996
268,753.6997612549775,1950.938333333333
269,756.3951084757753,1925.034166666666
270,759.0883677085873,1908.2341666666657
271,761.7804165027665,1897.5883333333322
272,764.4730059891978,1940.625833333333
273,767.161760802308,1948.8716666666664
274,769.8493084081631,1953.9341666666664
275,772.5373975778823,2022.2758333333327
276,775.2225324226614,1990.813333333333
277,777.9055893020778,1989.2425000000003
278,780.5865702013685,2029.1383333333329
279,783.2680943403964,2060.33
280,785.94754411685,2044.1633333333334
281,788.6249215114218,2056.4299999999994
282,791.301099742469,2075.5549999999994
283,793.9752087651893,2026.159166666666
284,796.6481210140968,2009.209166666666
285,799.3198372924204,1953.4341666666664
286,801.9903584026715,1933.2341666666657
287,804.6588158534753,1941.3758333333326
288,807.3260805162536,1948.096666666666
289,809.9921531905816,1981.2383333333332
290,812.6552984182088,1971.0091666666663
291,815.3172548048767,1979.9049999999997
292,817.9788905003605,2033.6674999999996
293,820.6393381718575,2091.500833333333
294,823.2968654545798,2155.942499999999
295,825.953207848906,2161.221666666666
296,828.6092319547788,2073.138333333333
297,831.2623411407403,1933.0258333333327
298,833.9142685842397,1825.3674999999994
299,836.5650150746521,1707.0258333333327
300,839.214581400652,1704.5883333333327
301,841.8621044684179,1696.4758333333334
302,844.5084497156973,1662.83
303,847.1536179282938,1660.3841666666663
304,849.7967471614515,1643.8258333333329
