,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.4,140048.36,6118.51,0.24,39.817,49.955,89.718
1,3.56,921997.17,48445.92,0.32,90.012,79.024,74.869
2,3.912,305.3,39.49,0.08,50.6,44.28,95.552
3,4.58,1441807.44,95757.14,0.45,73.132,98.071,64.878
4,4.824,175183.05,12912.91,0.15,48.328,49.701,97.561
5,5.072,1945.99,219.54,0.11,49.136,48.287,98.534
6,5.232,23241.67,1732.17,0.15,53.04,54.104,97.818
7,5.356,11111.99,847.24,0.11,49.87,50.442,98.665
8,5.54,2204.34,170.62,0.13,46.982,46.559,98.369
