,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.912,1232.44,46.65,0.16,26.227,39.644,75.066
1,3.396,67435.93,2909.9,0.22,36.239,47.799,86.986
2,3.556,304591.88,16772.96,0.26,87.707,78.407,75.813
3,3.912,311.73,30.11,0.09,22.01,37.37,75.919
4,4.008,175.15,29.8,0.05,15.72,33.463,71.136
5,4.128,257.06,32.96,0.1,24.886,37.955,86.625
6,4.584,5023.22,269.8,0.12,33.918,45.627,87.532
7,4.828,145362.89,9835.89,0.24,45.629,48.889,94.725
8,5.088,6377.81,404.16,0.13,39.208,47.799,90.258
9,5.24,24934.71,1629.55,0.14,48.308,55.037,91.729
10,5.36,10843.21,696.4,0.13,40.081,50.078,90.793
11,5.536,1994.15,98.54,0.15,35.72,44.498,90.495
