,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.404,98190.96,4449.57,0.22,38.672,48.928,89.481
1,3.564,811864.46,45725.68,0.31,89.873,79.003,74.81
2,4.04,3412.7,270.29,0.13,57.267,49.14,93.256
3,4.244,3858.28,172.01,0.18,53.008,46.958,94.994
4,4.588,63136.21,3940.1,0.18,64.323,71.314,95.502
5,4.728,6690.47,415.63,0.1,45.829,48.211,97.776
6,4.836,164844.25,11704.76,0.21,47.155,49.424,96.394
7,5.08,28677.75,1836.74,0.15,55.483,56.719,97.675
8,5.244,76927.35,5137.0,0.14,58.96,61.33,95.204
9,5.364,39955.79,2548.68,0.14,56.276,60.367,98.029
10,5.512,3867.37,176.85,0.13,46.07,46.581,98.188
