,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.388,37283.67,1631.07,0.28,64.217,70.437,90.876
1,3.912,1514.02,162.7,0.09,54.26,52.431,95.962
2,4.044,1362.3,110.56,0.12,59.021,51.502,95.01
3,4.584,2879144.72,196136.11,0.46,72.822,98.782,60.867
4,4.832,125593.36,9626.03,0.2,46.478,49.035,95.731
5,5.076,24692.19,1886.79,0.14,54.018,55.977,96.143
6,5.24,125327.38,8385.56,0.16,56.025,60.035,93.552
7,5.36,64331.8,4256.27,0.15,57.877,64.979,96.158
8,5.764,5046.91,307.73,0.15,45.602,47.725,97.424
9,5.976,2241.8,122.91,0.17,45.096,46.565,97.591
