,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.408,97485.73,4331.44,0.21,39.21,49.093,90.125
1,3.564,891297.23,46415.23,0.34,89.984,78.965,75.015
2,4.036,1437.15,117.92,0.1,52.397,42.549,90.378
3,4.228,3758.89,151.79,0.19,52.624,44.905,93.554
4,4.576,60796.97,3614.23,0.16,65.172,69.577,96.389
5,4.712,12358.59,714.3,0.11,46.949,49.383,97.955
6,4.824,174692.01,12073.9,0.18,47.367,49.491,96.627
7,5.068,26434.8,1692.3,0.15,55.972,56.276,98.332
8,5.228,77448.49,5134.8,0.14,59.205,61.274,95.575
9,5.352,40032.66,2586.19,0.14,57.564,60.665,98.362
10,5.532,3252.56,182.11,0.16,47.235,46.602,98.426
