,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.388,64036.5,2642.84,0.24,47.368,55.687,91.996
1,3.56,301777.97,15209.28,0.3,86.858,77.612,79.412
2,3.912,657.94,78.18,0.1,47.931,48.857,96.083
3,4.052,2781.22,265.92,0.1,50.76,51.286,96.348
4,4.248,3696.22,279.94,0.12,50.029,49.879,96.342
5,4.58,2937263.29,200117.19,0.46,72.55,98.872,60.166
6,4.824,137991.89,10247.77,0.17,46.345,49.086,95.549
7,5.076,5843.49,523.7,0.12,47.992,51.472,95.003
8,5.232,45895.1,3287.52,0.14,53.876,58.259,93.353
9,5.356,20319.11,1515.77,0.11,51.088,58.324,95.036
10,5.532,3459.6,199.36,0.15,43.202,47.913,95.119
