,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.384,72448.9,3127.86,0.23,42.511,53.194,88.453
1,3.552,316618.97,15390.29,0.32,86.81,77.924,77.411
2,3.904,971.27,110.02,0.1,39.857,47.195,87.561
3,4.048,2850.38,245.67,0.1,41.216,49.448,87.889
4,4.572,2794141.3,183321.14,0.59,72.284,98.857,59.736
5,4.82,134072.75,9480.77,0.16,45.681,48.852,94.777
6,5.068,3886.41,340.18,0.13,41.259,48.722,89.047
7,5.228,32204.87,2256.4,0.14,50.846,56.916,90.825
8,5.348,13693.91,1007.47,0.12,43.612,54.603,88.839
9,5.496,3128.93,222.66,0.13,40.562,47.225,90.259
