,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.392,29900.04,1344.11,0.28,64.789,64.521,97.646
1,3.624,2609.8,215.69,0.12,55.517,48.533,98.986
2,3.916,474.64,53.38,0.08,53.293,45.952,96.248
3,4.052,157117.54,11614.2,0.15,87.5,77.543,83.367
4,4.164,28306.26,2034.94,0.1,44.571,50.606,95.755
5,4.588,2388086.58,167096.27,0.44,73.056,98.633,62.078
6,4.836,138653.4,10810.63,0.2,47.223,49.322,96.501
7,5.088,25757.6,2018.82,0.15,56.263,56.417,97.776
8,5.248,139137.59,9666.48,0.14,57.763,60.924,94.259
9,5.368,68985.35,4687.34,0.14,59.835,64.864,97.401
10,5.552,2496.93,200.6,0.14,47.804,47.23,98.471
11,5.776,3235.87,242.15,0.12,47.394,47.063,98.394
