,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.388,31134.31,1375.76,0.26,64.075,68.025,94.048
1,3.624,3083.28,204.95,0.12,53.642,50.385,99.742
2,3.916,652.29,82.99,0.09,54.458,49.472,96.86
3,4.044,679.43,71.21,0.12,59.845,49.846,95.506
4,4.232,4164.17,250.3,0.08,57.405,52.397,97.188
5,4.584,2512666.59,168965.37,0.42,73.105,98.605,61.842
6,4.832,100983.4,7987.81,0.16,45.603,48.609,94.732
7,5.08,21840.38,1724.19,0.18,53.986,55.183,96.64
8,5.24,117224.96,7873.24,0.14,55.497,59.368,93.89
9,5.36,62021.49,4066.05,0.14,57.823,64.028,96.768
