,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.896,1502.27,59.6,0.16,35.641,44.255,87.314
1,3.392,72496.38,3081.62,0.22,37.576,48.309,88.644
2,3.552,184856.57,9808.16,0.26,86.361,77.433,79.951
3,4.024,1692.02,116.41,0.13,44.63,47.121,93.077
4,4.124,250.92,42.44,0.03,38.546,42.217,95.312
5,4.228,2239.1,128.32,0.15,44.729,47.552,93.397
6,4.572,7091.99,334.39,0.15,44.674,49.708,94.878
7,4.82,161498.81,11416.23,0.18,46.704,49.295,95.976
8,4.968,2831.24,214.05,0.06,42.099,47.161,93.942
9,5.064,21638.94,1303.26,0.15,50.101,55.051,94.636
10,5.228,48252.75,3123.15,0.15,54.037,58.793,93.505
11,5.348,25748.61,1615.75,0.15,49.655,57.888,94.903
12,5.512,1738.37,92.55,0.11,39.587,45.49,94.514
13,5.888,50.09,6.34,0.05,39.379,44.712,94.79
