,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.404,71459.96,2957.07,0.26,42.145,50.729,92.085
1,3.564,518523.26,27909.83,0.3,89.284,78.544,77.059
2,4.04,1082.21,76.69,0.11,55.056,43.345,91.6
3,4.236,7762.5,276.3,0.15,57.108,48.038,95.329
4,4.584,1105532.69,74263.04,0.36,73.562,97.736,66.404
5,4.832,128318.86,10068.84,0.14,46.872,49.137,96.184
6,5.076,5246.79,516.2,0.17,52.805,50.861,98.737
7,5.24,36790.93,2735.28,0.14,56.494,57.289,97.198
8,5.36,19344.24,1446.43,0.14,53.844,54.522,98.899
9,5.536,1991.31,152.11,0.14,47.775,46.434,98.484
