,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.392,24816.01,1112.26,0.31,64.597,63.597,97.994
1,3.92,1305.73,124.87,0.1,54.675,47.033,95.558
2,4.044,3449.78,246.48,0.17,60.834,49.99,94.104
3,4.248,5548.03,266.51,0.16,57.791,50.188,96.907
4,4.588,1950637.82,135507.85,0.36,73.145,98.429,63.107
5,4.836,132906.83,9983.63,0.19,46.642,49.117,95.866
6,5.084,42349.65,3135.86,0.14,58.231,58.772,97.231
7,5.244,206217.29,14094.04,0.14,57.795,61.375,93.646
8,5.368,101067.44,6719.68,0.14,62.809,69.023,96.337
9,5.56,2530.58,220.33,0.12,47.526,46.933,98.477
10,5.776,1522.05,126.69,0.12,47.12,46.463,98.376
11,5.98,1469.82,62.18,0.18,46.941,45.986,98.354
