,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,2.832,355.92,11.66,0.21,-35.536,-43.882,-89.749
1,3.148,1445.64,81.91,0.14,35.908,44.557,88.916
2,3.424,529590.45,33118.67,0.22,39.854,51.068,91.431
3,3.572,64372.18,2543.3,0.26,71.209,68.468,92.235
4,3.92,6726.29,371.37,0.21,48.933,52.404,94.976
5,4.188,10.12,1.68,0.04,35.296,39.934,91.34
6,4.584,44241.89,2727.26,0.26,54.724,67.325,93.829
7,4.688,1503.66,96.78,0.08,40.214,45.84,94.467
8,4.928,108.94,10.52,0.08,40.248,45.128,95.129
9,5.204,5116.71,279.92,0.18,41.882,47.683,94.674
10,5.452,784.64,61.67,0.1,40.356,45.534,95.058
11,5.672,4873.38,400.02,0.1,42.044,46.031,96.693
12,5.728,2314.85,167.68,0.08,41.705,46.458,95.823
