,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.388,23880.78,1050.76,0.3,64.792,60.57,97.8
1,3.92,1080.7,110.81,0.09,54.285,44.78,93.673
2,4.036,876.3,91.58,0.12,54.55,42.532,90.025
3,4.588,1839579.79,126588.55,0.46,73.109,98.424,63.458
4,4.836,85578.43,6549.57,0.19,44.188,48.054,92.796
5,5.084,17049.61,1283.92,0.17,54.71,53.593,98.879
6,5.244,90634.57,6204.25,0.14,56.899,59.298,95.898
7,5.364,45768.14,3080.55,0.14,56.954,59.243,98.644
8,5.552,1497.03,123.84,0.11,47.816,46.105,98.48
9,5.776,2773.83,187.97,0.14,48.126,46.491,98.518
10,5.984,1160.46,67.76,0.16,47.641,45.819,98.441
