,peak_rt,integral,peak_height,peak_width,Product,SM,TMB
0,3.392,28270.96,1267.45,0.27,62.486,67.27,93.485
1,3.624,3089.57,213.05,0.12,53.109,50.477,99.68
2,3.916,674.37,85.42,0.08,52.894,49.474,96.671
3,4.048,716.18,74.15,0.09,58.393,49.376,95.011
4,4.244,3124.8,209.27,0.07,56.607,51.887,96.831
5,4.588,2292790.85,156558.64,0.42,73.015,98.549,62.063
6,4.836,111838.82,8789.21,0.18,46.051,48.83,95.249
7,5.084,24512.93,1827.25,0.15,54.278,55.76,96.428
8,5.248,131332.36,8760.15,0.15,56.326,60.161,93.649
9,5.368,66685.34,4400.99,0.15,58.24,65.001,96.384
